Date,Year,Quarter,Month,MonthName,MonthYear,Day,Weekday,IsWeekend
2011-04-16,2011,2011Q2,4,April,Apr 2011,16,Saturday,True
2011-04-17,2011,2011Q2,4,April,Apr 2011,17,Sunday,True
2011-04-18,2011,2011Q2,4,April,Apr 2011,18,Monday,False
2011-04-19,2011,2011Q2,4,April,Apr 2011,19,Tuesday,False
2011-04-20,2011,2011Q2,4,April,Apr 2011,20,Wednesday,False
2011-04-21,2011,2011Q2,4,April,Apr 2011,21,Thursday,False
2011-04-22,2011,2011Q2,4,April,Apr 2011,22,Friday,False
2011-04-23,2011,2011Q2,4,April,Apr 2011,23,Saturday,True
2011-04-24,2011,2011Q2,4,April,Apr 2011,24,Sunday,True
2011-04-25,2011,2011Q2,4,April,Apr 2011,25,Monday,False
2011-04-26,2011,2011Q2,4,April,Apr 2011,26,Tuesday,False
2011-04-27,2011,2011Q2,4,April,Apr 2011,27,Wednesday,False
2011-04-28,2011,2011Q2,4,April,Apr 2011,28,Thursday,False
2011-04-29,2011,2011Q2,4,April,Apr 2011,29,Friday,False
2011-04-30,2011,2011Q2,4,April,Apr 2011,30,Saturday,True
2011-05-01,2011,2011Q2,5,May,May 2011,1,Sunday,True
2011-05-02,2011,2011Q2,5,May,May 2011,2,Monday,False
2011-05-03,2011,2011Q2,5,May,May 2011,3,Tuesday,False
2011-05-04,2011,2011Q2,5,May,May 2011,4,Wednesday,False
2011-05-05,2011,2011Q2,5,May,May 2011,5,Thursday,False
2011-05-06,2011,2011Q2,5,May,May 2011,6,Friday,False
2011-05-07,2011,2011Q2,5,May,May 2011,7,Saturday,True
2011-05-08,2011,2011Q2,5,May,May 2011,8,Sunday,True
2011-05-09,2011,2011Q2,5,May,May 2011,9,Monday,False
2011-05-10,2011,2011Q2,5,May,May 2011,10,Tuesday,False
2011-05-11,2011,2011Q2,5,May,May 2011,11,Wednesday,False
2011-05-12,2011,2011Q2,5,May,May 2011,12,Thursday,False
2011-05-13,2011,2011Q2,5,May,May 2011,13,Friday,False
2011-05-14,2011,2011Q2,5,May,May 2011,14,Saturday,True
2011-05-15,2011,2011Q2,5,May,May 2011,15,Sunday,True
2011-05-16,2011,2011Q2,5,May,May 2011,16,Monday,False
2011-05-17,2011,2011Q2,5,May,May 2011,17,Tuesday,False
2011-05-18,2011,2011Q2,5,May,May 2011,18,Wednesday,False
2011-05-19,2011,2011Q2,5,May,May 2011,19,Thursday,False
2011-05-20,2011,2011Q2,5,May,May 2011,20,Friday,False
2011-05-21,2011,2011Q2,5,May,May 2011,21,Saturday,True
2011-05-22,2011,2011Q2,5,May,May 2011,22,Sunday,True
2011-05-23,2011,2011Q2,5,May,May 2011,23,Monday,False
2011-05-24,2011,2011Q2,5,May,May 2011,24,Tuesday,False
2011-05-25,2011,2011Q2,5,May,May 2011,25,Wednesday,False
2011-05-26,2011,2011Q2,5,May,May 2011,26,Thursday,False
2011-05-27,2011,2011Q2,5,May,May 2011,27,Friday,False
2011-05-28,2011,2011Q2,5,May,May 2011,28,Saturday,True
2011-05-29,2011,2011Q2,5,May,May 2011,29,Sunday,True
2011-05-30,2011,2011Q2,5,May,May 2011,30,Monday,False
2011-05-31,2011,2011Q2,5,May,May 2011,31,Tuesday,False
